"Product Design"," Product Design"
"Background"," Background"
"Template"," Template"
"Template Library","Template Library"
"View Template Library","View Template Library"
"Product Colors"," Product Colors"
"Choose background color","Choose background color"
"Elements","Elements"
"Upload","Upload"
"Info","Info"
"Reset","Reset"
"Layers","Layers"
"Layer","Layer"
"Price","Price"
"Action","Action"
"Delete","Delete"
"Type","Type"
"Total Layers Price :","Total Layers Price :"
"HELP INFORMATION","HELP INFORMATION"
"Add Text","Add Text"
"Click to add text","Click to add text"
"Add heading","Add heading"
"Add subheading","Add subheading"
"Add a little bit of body text","Add a little bit of body text"
"Image","Image"
"Artwork","Artwork"
"Shapes","Shapes"
"Mask","Mask"
"QR Code","QR Code"
"Curved Text","Curved Text"
"Please wait...","Please wait..."
"Save customized design","Save customized design"
"CONTINUE SHOPPING","CONTINUE SHOPPING"
"Save Design Template","Save Design Template"
"Remove Default Design","Remove Default Design"
"Download Your Design","Download Your Design"
"Download","Download"
"Download PNG","Download PNG"
"Download PDF","Download PDF"
"Reset Your Design","Reset Your Design"
"Share Your Design","Share Your Design"
"Share","Share"
"Close Your Design","Close Your Design"
"Close","Close"
"Bold","Bold"
"Italic","Italic"
"Underline","Underline"
"Left -","Left -"
"- Center -","- Center -"
"- Right","- Right"
"Duplicate","Duplicate"
"Transparency","Transparency"
"Move forward","Move forward"
"Move back","Move back"
"Username(*)","Username(*)"
"Password(*)","Password(*)"
"Forgot your password?","Forgot your password?"
"Login","Login"
"Create an Account","Create an Account"
"CONTINUE AS GUEST","CONTINUE AS GUEST"
"This action will clear all customized design. Are you sure?","This action will clear all customized design. Are you sure?"
"Login to continue save the customized design","Login to continue save the customized design"
"Do you want to save your customized design?","Do you want to save your customized design?"
"Do you want to save your customized design?","Do you want to save your customized design?"
"OK, Save My Design","OK, Save My Design"
"OK, Save My Design","OK, Save My Design"
"Close","Close"
"Share the customized design to your friends","Share the customized design to your friends"
"Share on Facebook","Share on Facebook"
"Share on Twitter","Share on Twitter"
"Share on Google Plus","Share on Google Plus"
"Share on Email","Share on Email"
"Saving data, please wait...","Saving data, please wait..."
"Product Side","Product Side"
"Zoom In","Zoom In"
"Zoom Out","Zoom Out"
"Reset Zoom","Reset Zoom"
