" - Edit"," - Edit"
"",""
"Action","Action"
"Add Attachment","Add Attachment"
"Add Message","Add Message"
"An error occurred while updating the attachments.","An error occurred while updating the attachments."
"An error occurred while updating the messages.","An error occurred while updating the messages."
"Are you sure?","Are you sure?"
"Attachment was saved","Attachment was saved"
"Attachment was successfully deleted.","Attachment was successfully deleted."
"Attachment was successfully saved","Attachment was successfully saved"
"Attachment","Attachment"
"Attachments","Attachments"
"CSV","CSV"
"Change Message","Change Message"
"Change status","Change status"
"Could not find attachment to delete.","Could not find attachment to delete."
"Could not find message to delete.","Could not find message to delete."
"Created at","Created at"
"Customer Id","Customer Id"
"Delete Attachment","Delete Attachment"
"Delete File","Delete File"
"Delete Message","Delete Message"
"Delete","Delete"
"Disabled","Disabled"
"Edit Attachment '%s'","Edit Attachment '%s'"
"Edit Message '%s'","Edit Message '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving attachment","Error saving attachment"
"Error saving message","Error saving message"
"Excel","Excel"
"File","File"
"Home","Home"
"Id","Id"
"Message Body","Message Body"
"Message Id","Message Id"
"Message was saved","Message was saved"
"Message was successfully deleted.","Message was successfully deleted."
"Message was successfully saved","Message was successfully saved"
"Message","Message"
"Messages","Messages"
"Meta description for attachments list page","Meta description for attachments list page"
"Meta information","Meta information"
"Meta keywords for attachments list page","Meta keywords for attachments list page"
"Meta title for attachments list page","Meta title for attachments list page"
"Meta","Meta"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"Name","Name"
"No","No"
"None","None"
"Owner","Owner"
"Parent Id","Parent Id"
"Please select attachments to delete.","Please select attachments to delete."
"Please select attachments.","Please select attachments."
"Please select messages to delete.","Please select messages to delete."
"Please select messages.","Please select messages."
"Position","Position"
"Read","Read"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Attachment","Save Attachment"
"Save Message","Save Message"
"Status","Status"
"Store views","Store views"
"Subject","Subject"
"The attachments has been deleted.","The attachments has been deleted."
"The messages has been deleted.","The messages has been deleted."
"There was a problem saving the attachment.","There was a problem saving the attachment."
"There was a problem saving the message.","There was a problem saving the message."
"There was an error deleting attachment.","There was an error deleting attachment."
"There was an error deleting attachments.","There was an error deleting attachments."
"There was an error deleting message.","There was an error deleting message."
"There was an error deleting messages.","There was an error deleting messages."
"There was an error updating attachments.","There was an error updating attachments."
"There was an error updating messages.","There was an error updating messages."
"This attachment no longer exists.","This attachment no longer exists."
"This message no longer exists.","This message no longer exists."
"Total of %d attachments were successfully deleted.","Total of %d attachments were successfully deleted."
"Total of %d attachments were successfully updated.","Total of %d attachments were successfully updated."
"Total of %d messages were successfully deleted.","Total of %d messages were successfully deleted."
"Total of %d messages were successfully updated.","Total of %d messages were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find attachment to save.","Unable to find attachment to save."
"Unable to find message to save.","Unable to find message to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"Vendor Id","Vendor Id"
"View {#name}","View {#name}"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"