" - Edit"," - Edit"
"",""
"Action","Action"
"Add Bid","Add Bid"
"Add Project","Add Project"
"Additional Comments","Additional Comments"
"An error occurred while updating the bids.","An error occurred while updating the bids."
"An error occurred while updating the projects.","An error occurred while updating the projects."
"Are you sure?","Are you sure?"
"Bid Amount","Bid Amount"
"Bid was saved","Bid was saved"
"Bid was successfully deleted.","Bid was successfully deleted."
"Bid was successfully saved","Bid was successfully saved"
"Bid","Bid"
"Bids","Bids"
"Budget (per piece)","Budget (per piece)"
"CSV","CSV"
"Change Is Private","Change Is Private"
"Change Is Selected","Change Is Selected"
"Change Is Single","Change Is Single"
"Change Project","Change Project"
"Change status","Change status"
"Completion Date","Completion Date"
"Could not find bid to delete.","Could not find bid to delete."
"Could not find project to delete.","Could not find project to delete."
"Created at","Created at"
"Delete Bid","Delete Bid"
"Delete Project","Delete Project"
"Delete","Delete"
"Design","Design"
"Disabled","Disabled"
"Edit Bid '%s'","Edit Bid '%s'"
"Edit Project '%s'","Edit Project '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving bid","Error saving bid"
"Error saving project","Error saving project"
"Excel","Excel"
"Expected Time","Expected Time"
"Home","Home"
"Id","Id"
"Is Private","Is Private"
"Is Selected","Is Selected"
"Is Single","Is Single"
"No","No"
"None","None"
"Options","Options"
"Owner","Owner"
"Please select bids to delete.","Please select bids to delete."
"Please select bids.","Please select bids."
"Please select projects to delete.","Please select projects to delete."
"Please select projects.","Please select projects."
"Position","Position"
"Project Name","Project Name"
"Project Type","Project Type"
"Project was saved","Project was saved"
"Project was successfully deleted.","Project was successfully deleted."
"Project was successfully saved","Project was successfully saved"
"Project","Project"
"Projects","Projects"
"Quantity","Quantity"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Bid","Save Bid"
"Save Project","Save Project"
"Status","Status"
"Store views","Store views"
"The bids has been deleted.","The bids has been deleted."
"The projects has been deleted.","The projects has been deleted."
"There was a problem saving the bid.","There was a problem saving the bid."
"There was a problem saving the project.","There was a problem saving the project."
"There was an error deleting bid.","There was an error deleting bid."
"There was an error deleting bids.","There was an error deleting bids."
"There was an error deleting project.","There was an error deleting project."
"There was an error deleting projects.","There was an error deleting projects."
"There was an error updating bids.","There was an error updating bids."
"There was an error updating projects.","There was an error updating projects."
"This bid no longer exists.","This bid no longer exists."
"This project no longer exists.","This project no longer exists."
"Total of %d bids were successfully deleted.","Total of %d bids were successfully deleted."
"Total of %d bids were successfully updated.","Total of %d bids were successfully updated."
"Total of %d projects were successfully deleted.","Total of %d projects were successfully deleted."
"Total of %d projects were successfully updated.","Total of %d projects were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find bid to save.","Unable to find bid to save."
"Unable to find project to save.","Unable to find project to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"View {#name}","View {#name}"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"