"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"Describe","Default Category","2","Yes","describe","Describe","","Describe","","","Yes","Products only","","Yes","","","No layout updates",""
"Collections","Default Category","1","Yes","collections","","","","","","Yes","Products only","","Yes","","","No layout updates",""
"HOME DECORATORS & INTERIOR DESIGNER","Default Category/Collections","20","Yes","home-decorators-and-interior-designer","","","","","","Yes","Products only","","No","","","No layout updates",""
"EVENT ORGANIZERS","Default Category/Collections","21","Yes","event-organizers","","","","","","Yes","Products only","","No","","","No layout updates",""
"SPORTS LEISURE & TRAVEL","Default Category/Describe","3","No","sports-leisure-travel","","","","","","Yes","Products only","","No","","","No layout updates",""
"HOME DECOR / LIFESTYLE DESIGN","Default Category/Describe","3","No","home-decor-lifestyle-design","","","","","","Yes","Products only","","No","","","No layout updates",""
"FASHION & BEAUTY","Default Category/Describe","2","No","fashion-beauty","","","","","","Yes","Products only","","No","","","No layout updates",""
"PERSONALISATION","Default Category/Describe","3","No","personalisation","","","","","","Yes","Products only","","No","","","No layout updates",""
"CUSTOM TRAVEL","Default Category/Collections","22","Yes","custom-travel","","","","","","Yes","Products only","","No","","","No layout updates",""
"PAINTING & WALLPAPERS","Default Category/Collections","23","Yes","painting-and-wallpapers","","","","","","Yes","Products only","","No","","","No layout updates",""
"HOME THEATRE CUSTOMISES","Default Category/Collections","24","Yes","home-theatre-customises","","","","","","Yes","Products only","","No","","","No layout updates",""
"APPAREL PRINTING","Default Category/Describe","8","Yes","apparel-printing","","","","","","Yes","Products only","","No","","","No layout updates",""
"CUSTOM MUGS PRINTING","Default Category/Describe","9","Yes","custom-mugs-printing","","","","","","Yes","Products only","","No","","","No layout updates",""
"TOYS","Default Category/Collections","18","Yes","toys","","","","","","Yes","Products only","","No","","","No layout updates",""
"MOBILE ACCESSORIES","Default Category/Collections","17","Yes","mobile-accessories","","","","","","Yes","Products only","","No","","","No layout updates",""
"FABRICATION","Default Category/Collections","16","Yes","fabrication","","","","","","Yes","Products only","","No","","","No layout updates",""
"EVENTS FOOD & BEVERAGE","Default Category/Describe","7","No","events-food-beverage","","","","","","Yes","Products only","","No","","","No layout updates",""
"Apparel Printing (T-Shirts, Caps and Hoodies, FlipFlops, Mobile Case)","Default Category/Collections","4","No","apparel-printing","","","","","","Yes","Products only","","Yes","","","No layout updates",""
"CUSTOM MUGS PRINTING","Default Category/Collections","6","Yes","custom-mugs-printing","","","","","","Yes","Products only","","No","","","No layout updates",""
"FLEX PRINTING","Default Category/Collections","7","Yes","flex-printing","","","","","","Yes","Products only","","No","","","No layout updates",""
"STATIONERY","Default Category/Collections","8","Yes","stationery","","","","","","Yes","Products only","","No","","","No layout updates",""
"WEDDING CARDS","Default Category/Collections","9","Yes","wedding-cards","","","","","","Yes","Products only","","No","","","No layout updates",""
"WOMENS CLOTHING & ACCESSORIES","Default Category/Collections","10","Yes","womens-clothing-accessories","","","","","","Yes","Products only","","No","","","No layout updates",""
"CUSTOM CAKES","Default Category/Collections","11","Yes","custom-cakes","","","","","","Yes","Products only","","No","","","No layout updates",""
"MENS CLOTHING & ACCESSORIES","Default Category/Collections","12","Yes","mens-clothing-accessories","","","","","","Yes","Products only","","No","","","No layout updates",""
"FOOTWEAR","Default Category/Collections","13","Yes","footwear","","","","","","Yes","Products only","","No","","","No layout updates",""
"FURNITURE DECOR","Default Category/Collections","14","Yes","furniture-d-cor","","","","","","Yes","Products only","","No","","","No layout updates",""
"JEWELLERY","Default Category/Collections","15","Yes","jewellery","","","","","","Yes","Products only","","No","","","No layout updates",""
"APPAREL PRINTING","Default Category/Collections","5","Yes","apparel-printing","","","","","","Yes","Products only","","No","","","No layout updates",""
"FLEX PRINTING","Default Category/Describe","10","Yes","flex-printing","","","","","","Yes","Products only","","No","","","No layout updates",""
"STATIONERY","Default Category/Describe","11","Yes","stationery","","","","","","Yes","Products only","","No","","","No layout updates",""
"TOURS & TRAVELS","Default Category/Collections","19","Yes","tours-travels","","","","","","Yes","Products only","","No","","","No layout updates",""
"HOME DECOR / LIFESTYLE DESIGN","Default Category/Collections","3","No","home-decor-lifestyle-design","","","","","","Yes","Products only","","No","","","No layout updates",""
"JEWELLERY","Default Category/Describe","18","Yes","jewellery","","","","","","Yes","Products only","","No","","","No layout updates",""
"FABRICATION","Default Category/Describe","19","Yes","fabrication","","","","","","Yes","Products only","","No","","","No layout updates",""
"MOBILE ACCESSORIES","Default Category/Describe","20","Yes","mobile-accessories","","","","","","Yes","Products only","","No","","","No layout updates",""
"TOYS","Default Category/Describe","21","Yes","toys","","","","","","Yes","Products only","","No","","","No layout updates",""
"TOURS & TRAVELS","Default Category/Describe","22","Yes","tours-travels","","","","","","Yes","Products only","","No","","","No layout updates",""
"FASHION & BEAUTY","Default Category/Collections","2","No","fashion-beauty","","","","","","Yes","Products only","","No","","","No layout updates",""
"HOME DECORATORS & INTERIOR DESIGNER","Default Category/Describe","23","Yes","home-decorators-and-interior-designer","","","","","","Yes","Products only","","No","","","No layout updates",""
"EVENT ORGANIZERS","Default Category/Describe","24","Yes","event-organizers","","","","","","Yes","Products only","","No","","","No layout updates",""
"CUSTOM TRAVEL","Default Category/Describe","25","Yes","custom-travel","","","","","","Yes","Products only","","No","","","No layout updates",""
"PAINTING & WALLPAPERS","Default Category/Describe","26","Yes","painting-and-wallpapers","","","","","","Yes","Products only","","No","","","No layout updates",""
"PERSONALISATION","Default Category/Collections","3","No","personalisation","","","","","","Yes","Products only","","No","","","No layout updates",""
"HOME THEATRE CUSTOMISES","Default Category/Describe","27","Yes","home-theatre-customises","","","","","","Yes","Products only","","No","","","No layout updates",""
"FURNITURE DECOR","Default Category/Describe","17","Yes","furniture-d-cor","","","","","","Yes","Products only","","No","","","No layout updates",""
"FOOTWEAR","Default Category/Describe","16","Yes","footwear","","","","","","Yes","Products only","","No","","","No layout updates",""
"SPORTS LEISURE & TRAVEL","Default Category/Collections","3","No","sports-leisure-travel","","","","","","Yes","Products only","","No","","","No layout updates",""
"CRAFT & WORKMANSHIP","Default Category/Describe","1","No","craft-workmanship","","","","","","Yes","Products only","","No","","","No layout updates",""
"WEDDING CARDS","Default Category/Describe","12","Yes","wedding-cards","","","","","","Yes","Products only","","No","","","No layout updates",""
"WOMENS CLOTHING & ACCESSORIES","Default Category/Describe","13","Yes","womens-clothing-accessories","","","","","","Yes","Products only","","No","","","No layout updates",""
"CUSTOM CAKES","Default Category/Describe","14","Yes","custom-cakes","","","","","","Yes","Products only","","No","","","No layout updates",""
"MENS CLOTHING & ACCESSORIES","Default Category/Describe","15","Yes","mens-clothing-accessories","","","","","","Yes","Products only","","No","","","No layout updates",""
"EVENTS FOOD & BEVERAGE","Default Category/Collections","3","No","events-food-beverage","","","","","","Yes","Products only","","No","","","No layout updates",""
"CRAFT & WORKMANSHIP","Default Category/Collections","1","No","craft-workmanship","","","","","","Yes","Products only","","No","","","No layout updates",""
"FlipFlops","Default Category/Collections/APPAREL PRINTING","3","Yes","flipflops","","","","","","Yes","Products only","","No","","","No layout updates",""
"Caps and Hoodies","Default Category/Collections/APPAREL PRINTING","2","Yes","caps-and-hoodies","","","","","","Yes","Products only","","No","","","No layout updates",""
"T-Shirts","Default Category/Collections/APPAREL PRINTING","1","Yes","t-shirt","","","","","","Yes","Products only","","No","","","No layout updates",""
"Party Decorations","Default Category/Collections/EVENTS FOOD & BEVERAGE","6","No","party-decorations","","","","","","Yes","Products only","","No","","","No layout updates",""
"Tea and Coffee flavours","Default Category/Describe/EVENTS FOOD & BEVERAGE","1","No","tea-coffee-flavours","","","","","","Yes","Products only","","No","","","No layout updates",""
"Cakes and Confectioneries","Default Category/Describe/EVENTS FOOD & BEVERAGE","2","No","cakes-confectionaries","","","","","","Yes","Products only","","No","","","No layout updates",""
"Mattresses and Bed Accessories","Default Category/Describe/HOME DECOR / LIFESTYLE DESIGN","3","Yes","mattresses-and-bed-accessories","","","","","","Yes","Products only","","No","","","No layout updates",""
"Baked Goodies","Default Category/Describe/EVENTS FOOD & BEVERAGE","3","No","baked-goodies","","","","","","Yes","Products only","","No","","","No layout updates",""
"Party Decorations","Default Category/Describe/EVENTS FOOD & BEVERAGE","6","No","party-decorations","","","","","","Yes","Products only","","No","","","No layout updates",""
"Snacks and Sides","Default Category/Describe/EVENTS FOOD & BEVERAGE","4","No","snacks-sides","","","","","","Yes","Products only","","No","","","No layout updates",""
"Catering","Default Category/Describe/EVENTS FOOD & BEVERAGE","5","No","catering","","","","","","Yes","Products only","","No","","","No layout updates",""
"Mobile Case","Default Category/Collections/APPAREL PRINTING","4","Yes","mobile-case","","","","","","Yes","Products only","","No","","","No layout updates",""
"Office Supplies","Default Category/Describe/STATIONERY","2","Yes","office-supplies","","","","","","Yes","Products only","","No","","","No layout updates",""
"FlipFlops","Default Category/Describe/APPAREL PRINTING","3","Yes","flipflops","","","","","","Yes","Products only","","No","","","No layout updates",""
"Caps and Hoodies","Default Category/Describe/APPAREL PRINTING","2","Yes","caps-and-hoodies","","","","","","Yes","Products only","","No","","","No layout updates",""
"T-Shirts","Default Category/Describe/APPAREL PRINTING","1","Yes","t-shirt","","","","","","Yes","Products only","","No","","","No layout updates",""
"Perfumes","Default Category/Collections/FASHION & BEAUTY","7","No","perfumes","","","","","","Yes","Products only","","No","","","No layout updates",""
"Inter-City & Inter-State travel","Default Category/Collections/TOURS & TRAVELS","2","Yes","intercity-and-interstate-travel","","","","","","Yes","Products only","","No","","","No layout updates",""
"Taxi Cab service for Intra-City","Default Category/Collections/TOURS & TRAVELS","1","Yes","taxi-cab-service-for-intra-city","","","","","","Yes","Products only","","No","","","No layout updates",""
"Cards","Default Category/Describe/STATIONERY","1","Yes","cards","","","","","","Yes","Products only","","No","","","No layout updates",""
"Taxi Cab service for Intra-City","Default Category/Describe/TOURS & TRAVELS","1","Yes","taxi-cab-service-for-intra-city","","","","","","Yes","Products only","","No","","","No layout updates",""
"Inter-City & Inter-State travel","Default Category/Describe/TOURS & TRAVELS","2","Yes","intercity-and-interstate-travel","","","","","","Yes","Products only","","No","","","No layout updates",""
"Office Supplies","Default Category/Collections/STATIONERY","2","Yes","office-supplies","","","","","","Yes","Products only","","No","","","No layout updates",""
"Cards","Default Category/Collections/STATIONERY","1","Yes","cards","","","","","","Yes","Products only","","No","","","No layout updates",""
"Mobile Case","Default Category/Describe/APPAREL PRINTING","4","Yes","mobile-case","","","","","","Yes","Products only","","No","","","No layout updates",""
"3D Models","Default Category/Collections/CRAFT & WORKMANSHIP","1","Yes","3d-models","","","","","","Yes","Products only","","No","","","No layout updates",""
"Audio Visual Systems","Default Category/Collections/HOME DECOR / LIFESTYLE DESIGN","6","Yes","audio-visual-systems","","","","","","Yes","Products only","","No","","","No layout updates",""
"Pet Homes","Default Category/Collections/HOME DECOR / LIFESTYLE DESIGN","7","Yes","pet-homes","","","","","","Yes","Products only","","No","","","No layout updates",""
"Men Clothing","Default Category/Collections/FASHION & BEAUTY","1","Yes","men-s-clothing","","","","","","Yes","Products only","","No","","","No layout updates",""
"Women Clothing","Default Category/Collections/FASHION & BEAUTY","2","Yes","women-s-clothing","","","","","","Yes","Products only","","No","","","No layout updates",""
"Sports Equipment","Default Category/Collections/SPORTS LEISURE & TRAVEL","4","Yes","sports-equipment","","","","","","Yes","Products only","","No","","","No layout updates",""
"Toys and Games","Default Category/Collections/SPORTS LEISURE & TRAVEL","5","Yes","toys-games","","","","","","Yes","Products only","","No","","","No layout updates",""
"Musical Instruments","Default Category/Collections/SPORTS LEISURE & TRAVEL","6","Yes","musical-instruments","","","","","","Yes","Products only","","No","","","No layout updates",""
"Yoga Mats and Equipment","Default Category/Collections/SPORTS LEISURE & TRAVEL","7","Yes","yoga-mats-equipment","","","","","","Yes","Products only","","No","","","No layout updates",""
"Travel Equipment and Packs","Default Category/Collections/SPORTS LEISURE & TRAVEL","8","Yes","travel-equipment-packs","","","","","","Yes","Products only","","No","","","No layout updates",""
"Device Accessories (Covers Sleeves etc)","Default Category/Collections/PERSONALISATION","9","Yes","device-accessories","","","","","","Yes","Products only","","No","","","No layout updates",""
"Vehicle Customisation (Decals Music systems)","Default Category/Collections/PERSONALISATION","10","Yes","vehicle-customisation","","","","","","Yes","Products only","","No","","","No layout updates",""
"Stationery and Office Items","Default Category/Collections/PERSONALISATION","11","Yes","stationery-office-items","","","","","","Yes","Products only","","No","","","No layout updates",""
