"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","price","special_price","cost","weight","msrp","status","is_recurring","visibility","tax_class_id","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","website","_media_image","_media_lable","_media_position","_media_is_disabled"
"admin","base","Describe","simple","28,148","tshirt","1","T-Shirt","","","/r/o/round-neck-front.png","/r/o/round-neck-front.png","/r/o/round-neck-front.png","tshirt","tshirt.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","300.0000","","","0.0000","","Enabled","No","Catalog","None","T-Shirt","T-Shirt","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-11-24 06:42:43","","1","0","0","1","1","0.0000","1","0","0","1","1","T-Shirt","0","simple","","","","","","",""
"admin","","","","","tshirt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/s/c/screen7.jpg","","3","0"
"admin","base","Describe","virtual","28,129,152,153","taxi-cab","1","Taxi/ Cab service","","","/c/h/cheap-car-rental.jpg","/c/h/cheap-car-rental.jpg","/c/h/cheap-car-rental.jpg","taxi-cab","taxi-cab.html","","No layout updates","Product Info Column","","","","","Use config","Use config","No","0.0000","","","","","Enabled","No","Catalog","None","Taxi/ Cab service","Taxi/ Cab service","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-11-14 07:04:56","","1","0","0","1","1","0.0000","1","0","0","1","1","Taxi/ Cab service","0","virtual","","","","","","",""
"admin","base","Describe","simple","106,127,156","describe-iphone6-cover","0","iPhone6 Cover","","","/i/p/iph6deflsingle.png","/i/p/iph6deflsingle.png","/i/p/iph6deflsingle.png","iphone6-cover","iphone6-cover.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","0.0000","","","0.1000","","Disabled","No","Catalog","None",".",".","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-12-20 04:57:45","","1","0","0","1","1","0.0000","1","0","0","1","1","iPhone6 Cover","0","simple","","","","","","",""
"admin","base","Describe","simple","106,127,156","describe-1plus2-cover","0","1plus 2 Cover","","","/m/r/mr-1plus2-cstmpntjb-x.jpg","/m/r/mr-1plus2-cstmpntjb-x.jpg","/m/r/mr-1plus2-cstmpntjb-x.jpg","1plus2-cover","1plus2-cover.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","350.0000","","","0.1000","","Disabled","No","Catalog","None",".",".","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-11-19 17:00:15","","1","0","0","1","1","0.0000","1","0","0","1","1","1plus 2 Cover","0","simple","","","","","","",""
"admin","base","Describe","simple","107","describe-mug-7.5x3.5","0","Mug","","","/c/u/custom-personalized-mugs-simi-valley.jpg","/c/u/custom-personalized-mugs-simi-valley.jpg","/c/u/custom-personalized-mugs-simi-valley.jpg","mug","mug.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","250.0000","","","0.5000","","Enabled","No","Catalog","None",".",".","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-11-12 04:56:47","","1","0","0","1","1","0.0000","1","0","0","1","1","Mug","0","simple","","","","","","",""
"admin","base","Describe","simple","126,158","3dobject","1","3D Object","","","/1/7/17_knot-02_4000x3000.jpg","/1/7/17_knot-02_4000x3000.jpg","/1/7/17_knot-02_4000x3000.jpg","3dobject","3dobject.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","0.0000","","","0.0000","","Enabled","No","Catalog","None",".",".","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-11-10 05:51:38","","1","0","0","1","1","0.0000","1","0","0","1","1","3D Object","0","simple","","","","","","",""
"admin","base","Describe","simple","28,122","flex-banner","1","Flex Banner","","","/v/i/vinyl_banner.257224338.jpg","/v/i/vinyl_banner.257224338.jpg","/v/i/vinyl_banner.257224338.jpg","flex-banner","flex-banner.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","0.0000","","","0.0000","","Enabled","No","Catalog","None",".",".","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-11-17 06:31:53","","1","0","0","1","1","0.0000","1","0","0","1","1","Flex Banner","0","simple","","","","","","",""
"admin","base","Describe","simple","28,147,148","describe-hoodie","1","Hoodie","","","/h/o/hoodie-front.png","/h/o/hoodie-front.png","/h/o/hoodie-front.png","hoodie","hoodie.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","300.0000","","","0.0000","","Enabled","No","Catalog","None","Hoodie","Hoodie","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-11-24 05:33:59","","1","0","0","1","1","0.0000","1","0","0","1","1","Hoodie","0","simple","","","","","","",""
"admin","","","","","describe-hoodie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/s/c/screen7_1.jpg","","3","0"
"admin","base","Describe","simple","28,148","describe-polo-tshirt","1","Polo T-Shirt","","","/p/o/poloneck-front.png","/p/o/poloneck-front.png","/p/o/poloneck-front.png","polo-tshirt","polo-tshirt.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","300.0000","","","0.0000","","Enabled","No","Catalog","None","Polo T-Shirt","Polo T-Shirt","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-11-24 05:38:19","","1","0","0","1","1","0.0000","1","0","0","1","1","Polo T-Shirt","0","simple","","","","","","",""
"admin","","","","","describe-polo-tshirt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/s/c/screen7_2.jpg","","3","0"
"admin","base","Describe","simple","28,148","describe-vneck-tshirt","1","Vneck T-Shirt","","","/v/-/v-neck-front.png","/v/-/v-neck-front.png","/v/-/v-neck-front.png","vneck-tshirt","vneck-tshirt.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","300.0000","","","0.0000","","Enabled","No","Catalog","None","Vneck T-Shirt","Vneck T-Shirt","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-11-24 05:36:06","","1","0","0","1","1","0.0000","1","0","0","1","1","Vneck T-Shirt","0","simple","","","","","","",""
"admin","","","","","describe-vneck-tshirt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/s/c/screen7_3.jpg","","3","0"
"admin","base","Describe","simple","106,127,156","describe-iphone4-cover","0","Apple iPhone 4 Cover","","","/a/p/apple_iphone_4_img.png","/a/p/apple_iphone_4_img.png","/a/p/apple_iphone_4_img.png","iphone4-cover","iphone4-cover.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","0.0000","","","0.1000","","Enabled","No","Catalog","None",".",".","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-12-20 04:57:20","","1","0","0","1","1","0.0000","1","0","0","1","1","Apple iPhone 4 Cover","0","simple","","","","","","",""
"admin","","","","","describe-iphone4-cover","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/i/p/iph6deflsingle_2.png","","1","0"
"admin","base","Describe","simple","106,127,156","describe-iphone5-cover","0","Apple iPhone 5 Cover","","","/a/p/apple_iphone_5_img.png","/a/p/apple_iphone_5_img.png","/a/p/apple_iphone_5_img.png","iphone5-cover","iphone5-cover.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","0.0000","","","0.1000","","Enabled","No","Catalog","None",".",".","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-12-20 04:56:44","","1","0","0","1","1","0.0000","1","0","0","1","1","Apple iPhone 5 Cover","0","simple","","","","","","",""
"admin","","","","","describe-iphone5-cover","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/i/p/iph6deflsingle_2_1.png","","1","0"
"admin","base","Describe","simple","106,127,156","describe-iphone5c-cover","0","Apple iPhone 5C Cover","","","/a/p/apple_iphone_5c_img.png","/a/p/apple_iphone_5c_img.png","/a/p/apple_iphone_5c_img.png","iphone5c-cover","iphone5c-cover.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","0.0000","","","0.1000","","Enabled","No","Catalog","None",".",".","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-12-20 04:55:49","","1","0","0","1","1","0.0000","1","0","0","1","1","Apple iPhone 5C Cover","0","simple","","","","","","",""
"admin","","","","","describe-iphone5c-cover","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/i/p/iph6deflsingle_2_1_1.png","","1","0"
"admin","base","Describe","simple","106,127,156","describe-appleiphone6-cover","0","Apple iPhone 6 Cover","","","/a/p/apple_iphone_6_img.png","/a/p/apple_iphone_6_img.png","/a/p/apple_iphone_6_img.png","iphone6-cover","iphone6-cover-104.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","0.0000","","","0.1000","","Enabled","No","Catalog","None",".",".","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-12-20 04:54:57","","1","0","0","1","1","0.0000","1","0","0","1","1","Apple iPhone 6 Cover","0","simple","","","","","","",""
"admin","","","","","describe-appleiphone6-cover","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/i/p/iph6deflsingle_2_1_1_1.png","","1","0"
"admin","base","Describe","simple","106,127,156","describe-asuszenfone2-cover","0","Asus Zenfone 2 Cover","","","/a/s/asus_zenfone_2_img.png","/a/s/asus_zenfone_2_img.png","/a/s/asus_zenfone_2_img.png","asuszenfone2-cover","asuszenfone2-cover.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","0.0000","","","0.1000","","Enabled","No","Catalog","None",".",".","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-11-22 04:01:49","","1","0","0","1","1","0.0000","1","0","0","1","1","Asus Zenfone 2 Cover","0","simple","","","","","","",""
"admin","","","","","describe-asuszenfone2-cover","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/p/r/profile.jpg","","2","0"
"admin","base","Describe","simple","106,127,156","describe-asuszenphone5-cover","0","Asus Zenfone 5 Cover","","","/a/s/asus_zenfone_5_img.png","/a/s/asus_zenfone_5_img.png","/a/s/asus_zenfone_5_img.png","asuszenphone5-cover","asuszenphone5-cover.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","0.0000","","","0.1000","","Enabled","No","Catalog","None",".",".","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-11-22 04:01:25","","1","0","0","1","1","0.0000","1","0","0","1","1","Asus Zenfone 5 Cover","0","simple","","","","","","",""
"admin","","","","","describe-asuszenphone5-cover","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/i/p/iph6deflsingle_2_1_1_3.png","","1","0"
