Name,Path,Position,Is Active,Url Key,Description,Image,Page Title,Meta Keywords,Meta Description,Include In Menu,Display Mode,CMS Block,Is Anchor,Availabe Sort By,Default Sort By,Page Layout,Custom Layout Update
Describe,Default Category,2,Yes,describe,Describe,,Describe,,,Yes,Products only,,Yes,,,No layout updates,
Collections,Default Category,1,Yes,collections,,,,,,Yes,Products only,,Yes,,,No layout updates,
PERSONALISATION,Default Category/Collections,4,Yes,personalisation,,,,,,Yes,Products only,,No,,,No layout updates,
CRAFT & WORKMANSHIP,Default Category/Collections,1,Yes,craft-workmanship,,,,,,Yes,Products only,,No,,,No layout updates,
FASHION & BEAUTY,Default Category/Collections,2,Yes,fashion-beauty,,,,,,Yes,Products only,,No,,,No layout updates,
HOME DECOR - LIFESTYLE DESIGN,Default Category/Collections,3,Yes,home-decor-lifestyle-design,,,,,,Yes,Products only,,No,,,No layout updates,
SPORTS LEISURE & TRAVEL,Default Category/Collections,3,Yes,sports-leisure-travel,,,,,,Yes,Products only,,No,,,No layout updates,
PERSONALISATION,Default Category/Collections,3,Yes,personalisation,,,,,,Yes,Products only,,No,,,No layout updates,
EVENTS FOOD & BEVERAGE,Default Category/Collections,3,Yes,events-food-beverage,,,,,,Yes,Products only,,No,,,No layout updates,
3D Models,Default Category/Collections/CRAFT & WORKMANSHIP,1,Yes,3d-models,,,,,,Yes,Products only,,No,,,No layout updates,
Glass Cuts and Embossing,Default Category/Collections/CRAFT & WORKMANSHIP,2,Yes,glass-cuts-and-embossing,,,,,,Yes,Products only,,No,,,No layout updates,
Wooden Carving and Design,Default Category/Collections/CRAFT & WORKMANSHIP,3,Yes,wooden-carving-and-design,,,,,,Yes,Products only,,No,,,No layout updates,
Pottery,Default Category/Collections/CRAFT & WORKMANSHIP,4,Yes,pottery,,,,,,Yes,Products only,,No,,,No layout updates,
Metal Fabrication,Default Category/Collections/CRAFT & WORKMANSHIP,5,Yes,metal-fabrication,,,,,,Yes,Products only,,No,,,No layout updates,
Prints,Default Category/Collections/CRAFT & WORKMANSHIP,6,Yes,prints,,,,,,Yes,Products only,,No,,,No layout updates,
Furniture,Default Category/Collections/HOME DECOR - LIFESTYLE DESIGN,1,Yes,furniture,,,,,,Yes,Products only,,No,,,No layout updates,
"Textiles: Upholstry, Linens, Curtains",Default Category/Collections/HOME DECOR - LIFESTYLE DESIGN,2,Yes,textiles-upholstry-linens-curtains,,,,,,Yes,Products only,,No,,,No layout updates,
Mattresses and Bed Accessories,Default Category/Collections/HOME DECOR - LIFESTYLE DESIGN,3,Yes,mattresses-and-bed-accessories,,,,,,Yes,Products only,,No,,,No layout updates,
Paintings,Default Category/Collections/HOME DECOR - LIFESTYLE DESIGN,4,Yes,paintings,,,,,,Yes,Products only,,No,,,No layout updates,
Lighting Fixtures,Default Category/Collections/HOME DECOR - LIFESTYLE DESIGN,5,Yes,lighting-fixtures,,,,,,Yes,Products only,,No,,,No layout updates,
Audio Visual Systems,Default Category/Collections/HOME DECOR - LIFESTYLE DESIGN,6,Yes,audio-visual-systems,,,,,,Yes,Products only,,No,,,No layout updates,
Pet Homes,Default Category/Collections/HOME DECOR - LIFESTYLE DESIGN,7,Yes,pet-homes,,,,,,Yes,Products only,,No,,,No layout updates,
Perfumes,Default Category/Collections/FASHION & BEAUTY,7,Yes,perfumes,,,,,,Yes,Products only,,No,,,No layout updates,
Cosmetics/Make-up,Default Category/Collections/FASHION & BEAUTY,6,Yes,cosmetics-make-up,,,,,,Yes,Products only,,No,,,No layout updates,
Men Clothing,Default Category/Collections/FASHION & BEAUTY,1,Yes,men-s-clothing,,,,,,Yes,Products only,,No,,,No layout updates,
Women Clothing,Default Category/Collections/FASHION & BEAUTY,2,Yes,women-s-clothing,,,,,,Yes,Products only,,No,,,No layout updates,
Footwear,Default Category/Collections/FASHION & BEAUTY,4,Yes,footwear,,,,,,Yes,Products only,,No,,,No layout updates,
Accessories,Default Category/Collections/FASHION & BEAUTY,5,Yes,accessories,,,,,,Yes,Products only,,No,,,No layout updates,
Jewellery,Default Category/Collections/FASHION & BEAUTY,3,Yes,jewellery,,,,,,Yes,Products only,,No,,,No layout updates,
Sports Equipment,Default Category/Collections/SPORTS LEISURE & TRAVEL,4,Yes,sports-equipment,,,,,,Yes,Products only,,No,,,No layout updates,
Toys and Games,Default Category/Collections/SPORTS LEISURE & TRAVEL,5,Yes,toys-games,,,,,,Yes,Products only,,No,,,No layout updates,
Musical Instruments,Default Category/Collections/SPORTS LEISURE & TRAVEL,6,Yes,musical-instruments,,,,,,Yes,Products only,,No,,,No layout updates,
Yoga Mats and Equipment,Default Category/Collections/SPORTS LEISURE & TRAVEL,7,Yes,yoga-mats-equipment,,,,,,Yes,Products only,,No,,,No layout updates,
Travel Equipment and Packs,Default Category/Collections/SPORTS LEISURE & TRAVEL,8,Yes,travel-equipment-packs,,,,,,Yes,Products only,,No,,,No layout updates,
Device Accessories (Covers Sleeves etc),Default Category/Collections/PERSONALISATION,9,Yes,device-accessories,,,,,,Yes,Products only,,No,,,No layout updates,
Vehicle Customisation (Decals Music systems),Default Category/Collections/PERSONALISATION,10,Yes,vehicle-customisation,,,,,,Yes,Products only,,No,,,No layout updates,
Stationery and Office Items,Default Category/Collections/PERSONALISATION,11,Yes,stationery-office-items,,,,,,Yes,Products only,,No,,,No layout updates,
Custom Real greeting cards,Default Category/Collections/PERSONALISATION,12,Yes,custom-real-greeting-cards,,,,,,Yes,Products only,,No,,,No layout updates,
Personal Lighters Bottle openers Bottles Corks,Default Category/Collections/PERSONALISATION,13,Yes,personal-lighters-bottle-openers-bottle-corks,,,,,,Yes,Products only,,No,,,No layout updates,
Tea and Coffee flavours,Default Category/Collections/EVENTS FOOD & BEVERAGE,14,Yes,tea-coffee-flavours,,,,,,Yes,Products only,,No,,,No layout updates,
Cakes and Confectioneries,Default Category/Collections/EVENTS FOOD & BEVERAGE,15,Yes,cakes-confectionaries,,,,,,Yes,Products only,,No,,,No layout updates,
Baked Goodies,Default Category/Collections/EVENTS FOOD & BEVERAGE,16,Yes,baked-goodies,,,,,,Yes,Products only,,No,,,No layout updates,
Snacks and Sides,Default Category/Collections/EVENTS FOOD & BEVERAGE,17,Yes,snacks-sides,,,,,,Yes,Products only,,No,,,No layout updates,
Catering,Default Category/Collections/EVENTS FOOD & BEVERAGE,18,Yes,catering,,,,,,Yes,Products only,,No,,,No layout updates,
Party Decorations,Default Category/Collections/EVENTS FOOD & BEVERAGE,19,Yes,party-decorations,,,,,,Yes,Products only,,No,,,No layout updates,
PERSONALISATION,Default Category/Describe,4,Yes,personalisation,,,,,,Yes,Products only,,No,,,No layout updates,
CRAFT & WORKMANSHIP,Default Category/Describe,1,Yes,craft-workmanship,,,,,,Yes,Products only,,No,,,No layout updates,
FASHION & BEAUTY,Default Category/Describe,2,Yes,fashion-beauty,,,,,,Yes,Products only,,No,,,No layout updates,
HOME DECOR - LIFESTYLE DESIGN,Default Category/Describe,3,Yes,home-decor-lifestyle-design,,,,,,Yes,Products only,,No,,,No layout updates,
SPORTS LEISURE & TRAVEL,Default Category/Describe,3,Yes,sports-leisure-travel,,,,,,Yes,Products only,,No,,,No layout updates,
PERSONALISATION,Default Category/Describe,3,Yes,personalisation,,,,,,Yes,Products only,,No,,,No layout updates,
EVENTS FOOD & BEVERAGE,Default Category/Describe,3,Yes,events-food-beverage,,,,,,Yes,Products only,,No,,,No layout updates,
3D Models,Default Category/Describe/CRAFT & WORKMANSHIP,1,Yes,3d-models,,,,,,Yes,Products only,,No,,,No layout updates,
Glass Cuts and Embossing,Default Category/Describe/CRAFT & WORKMANSHIP,2,Yes,glass-cuts-and-embossing,,,,,,Yes,Products only,,No,,,No layout updates,
Wooden Carving and Design,Default Category/Describe/CRAFT & WORKMANSHIP,3,Yes,wooden-carving-and-design,,,,,,Yes,Products only,,No,,,No layout updates,
Pottery,Default Category/Describe/CRAFT & WORKMANSHIP,4,Yes,pottery,,,,,,Yes,Products only,,No,,,No layout updates,
Metal Fabrication,Default Category/Describe/CRAFT & WORKMANSHIP,5,Yes,metal-fabrication,,,,,,Yes,Products only,,No,,,No layout updates,
Prints,Default Category/Describe/CRAFT & WORKMANSHIP,6,Yes,prints,,,,,,Yes,Products only,,No,,,No layout updates,
Furniture,Default Category/Describe/HOME DECOR - LIFESTYLE DESIGN,1,Yes,furniture,,,,,,Yes,Products only,,No,,,No layout updates,
"Textiles: Upholstry, Linens, Curtains",Default Category/Describe/HOME DECOR - LIFESTYLE DESIGN,2,Yes,textiles-upholstry-linens-curtains,,,,,,Yes,Products only,,No,,,No layout updates,
Mattresses and Bed Accessories,Default Category/Describe/HOME DECOR - LIFESTYLE DESIGN,3,Yes,mattresses-and-bed-accessories,,,,,,Yes,Products only,,No,,,No layout updates,
Paintings,Default Category/Describe/HOME DECOR - LIFESTYLE DESIGN,4,Yes,paintings,,,,,,Yes,Products only,,No,,,No layout updates,
Lighting Fixtures,Default Category/Describe/HOME DECOR - LIFESTYLE DESIGN,5,Yes,lighting-fixtures,,,,,,Yes,Products only,,No,,,No layout updates,
Audio Visual Systems,Default Category/Describe/HOME DECOR - LIFESTYLE DESIGN,6,Yes,audio-visual-systems,,,,,,Yes,Products only,,No,,,No layout updates,
Pet Homes,Default Category/Describe/HOME DECOR - LIFESTYLE DESIGN,7,Yes,pet-homes,,,,,,Yes,Products only,,No,,,No layout updates,
Perfumes,Default Category/Describe/FASHION & BEAUTY,7,Yes,perfumes,,,,,,Yes,Products only,,No,,,No layout updates,
Cosmetics/Make-up,Default Category/Describe/FASHION & BEAUTY,6,Yes,cosmetics-make-up,,,,,,Yes,Products only,,No,,,No layout updates,
Men Clothing,Default Category/Describe/FASHION & BEAUTY,1,Yes,men-s-clothing,,,,,,Yes,Products only,,No,,,No layout updates,
Women Clothing,Default Category/Describe/FASHION & BEAUTY,2,Yes,women-s-clothing,,,,,,Yes,Products only,,No,,,No layout updates,
Footwear,Default Category/Describe/FASHION & BEAUTY,4,Yes,footwear,,,,,,Yes,Products only,,No,,,No layout updates,
Accessories,Default Category/Describe/FASHION & BEAUTY,5,Yes,accessories,,,,,,Yes,Products only,,No,,,No layout updates,
Jewellery,Default Category/Describe/FASHION & BEAUTY,3,Yes,jewellery,,,,,,Yes,Products only,,No,,,No layout updates,
Sports Equipment,Default Category/Describe/SPORTS LEISURE & TRAVEL,4,Yes,sports-equipment,,,,,,Yes,Products only,,No,,,No layout updates,
Toys and Games,Default Category/Describe/SPORTS LEISURE & TRAVEL,5,Yes,toys-games,,,,,,Yes,Products only,,No,,,No layout updates,
Musical Instruments,Default Category/Describe/SPORTS LEISURE & TRAVEL,6,Yes,musical-instruments,,,,,,Yes,Products only,,No,,,No layout updates,
Yoga Mats and Equipment,Default Category/Describe/SPORTS LEISURE & TRAVEL,7,Yes,yoga-mats-equipment,,,,,,Yes,Products only,,No,,,No layout updates,
Travel Equipment and Packs,Default Category/Describe/SPORTS LEISURE & TRAVEL,8,Yes,travel-equipment-packs,,,,,,Yes,Products only,,No,,,No layout updates,
Device Accessories (Covers Sleeves etc),Default Category/Describe/PERSONALISATION,9,Yes,device-accessories,,,,,,Yes,Products only,,No,,,No layout updates,
Vehicle Customisation (Decals Music systems),Default Category/Describe/PERSONALISATION,10,Yes,vehicle-customisation,,,,,,Yes,Products only,,No,,,No layout updates,
Stationery and Office Items,Default Category/Describe/PERSONALISATION,11,Yes,stationery-office-items,,,,,,Yes,Products only,,No,,,No layout updates,
Custom Real greeting cards,Default Category/Describe/PERSONALISATION,12,Yes,custom-real-greeting-cards,,,,,,Yes,Products only,,No,,,No layout updates,
Personal Lighters Bottle openers Bottles Corks,Default Category/Describe/PERSONALISATION,13,Yes,personal-lighters-bottle-openers-bottle-corks,,,,,,Yes,Products only,,No,,,No layout updates,
Tea and Coffee flavours,Default Category/Describe/EVENTS FOOD & BEVERAGE,14,Yes,tea-coffee-flavours,,,,,,Yes,Products only,,No,,,No layout updates,
Cakes and Confectioneries,Default Category/Describe/EVENTS FOOD & BEVERAGE,15,Yes,cakes-confectionaries,,,,,,Yes,Products only,,No,,,No layout updates,
Baked Goodies,Default Category/Describe/EVENTS FOOD & BEVERAGE,16,Yes,baked-goodies,,,,,,Yes,Products only,,No,,,No layout updates,
Snacks and Sides,Default Category/Describe/EVENTS FOOD & BEVERAGE,17,Yes,snacks-sides,,,,,,Yes,Products only,,No,,,No layout updates,
Catering,Default Category/Describe/EVENTS FOOD & BEVERAGE,18,Yes,catering,,,,,,Yes,Products only,,No,,,No layout updates,
Party Decorations,Default Category/Describe/EVENTS FOOD & BEVERAGE,19,Yes,party-decorations,,,,,,Yes,Products only,,No,,,No layout updates,
