Name,Path,Position,Is Active,Url Key,Description,Image,Page Title,Meta Keywords,Meta Description,Include In Menu,Display Mode,CMS Block,Is Anchor,Availabe Sort By,Default Sort By,Page Layout,Custom Layout Update
Describe,Default Category,2,Yes,describe,Describe,,Describe,,,Yes,Products only,,Yes,,,No layout updates,
Collections,Default Category,1,Yes,collections,,,,,,Yes,Products only,,Yes,,,No layout updates,
APPAREL PRINTING,Default Category/Collections,1,Yes,apparel-printing,,,,,,Yes,Products only,,No,,,No layout updates,
T-Shirts,Default Category/Collections/APPAREL PRINTING,1,Yes,t-shirt,,,,,,Yes,Products only,,No,,,No layout updates,
Caps and Hoodies,Default Category/Collections/APPAREL PRINTING,1,Yes,caps-and-hoodies,,,,,,Yes,Products only,,No,,,No layout updates,
FlipFlops,Default Category/Collections/APPAREL PRINTING,1,Yes,flipflops,,,,,,Yes,Products only,,No,,,No layout updates,
Mobile Case,Default Category/Collections/APPAREL PRINTING,1,Yes,mobile-case,,,,,,Yes,Products only,,No,,,No layout updates,
CUSTOM MUGS PRINTING,Default Category/Collections,1,Yes,custom-mugs-printing,,,,,,Yes,Products only,,No,,,No layout updates,
FLEX PRINTING,Default Category/Collections,1,Yes,flex-printing,,,,,,Yes,Products only,,No,,,No layout updates,
STATIONERY,Default Category/Collections,1,Yes,stationery,,,,,,Yes,Products only,,No,,,No layout updates,
Cards,Default Category/Collections/STATIONERY,1,Yes,cards,,,,,,Yes,Products only,,No,,,No layout updates,
Office Supplies,Default Category/Collections/STATIONERY,1,Yes,office-supplies,,,,,,Yes,Products only,,No,,,No layout updates,
WEDDING CARDS,Default Category/Collections,1,Yes,wedding-cards,,,,,,Yes,Products only,,No,,,No layout updates,
WOMENS CLOTHING & ACCESSORIES,Default Category/Collections,1,Yes,womens-clothing-accessories,,,,,,Yes,Products only,,No,,,No layout updates,
CUSTOM CAKES,Default Category/Collections,1,Yes,custom-cakes,,,,,,Yes,Products only,,No,,,No layout updates,
MENS CLOTHING & ACCESSORIES,Default Category/Collections,1,Yes,mens-clothing-accessories,,,,,,Yes,Products only,,No,,,No layout updates,
FOOTWEAR,Default Category/Collections,1,Yes,footwear,,,,,,Yes,Products only,,No,,,No layout updates,
FURNITURE DECOR,Default Category/Collections,1,Yes,furniture-d_cor,,,,,,Yes,Products only,,No,,,No layout updates,
JEWELLERY,Default Category/Collections,1,Yes,jewellery,,,,,,Yes,Products only,,No,,,No layout updates,
FABRICATION,Default Category/Collections,1,Yes,fabrication,,,,,,Yes,Products only,,No,,,No layout updates,
MOBILE ACCESSORIES,Default Category/Collections,1,Yes,mobile-accessories,,,,,,Yes,Products only,,No,,,No layout updates,
TOYS,Default Category/Collections,1,Yes,toys,,,,,,Yes,Products only,,No,,,No layout updates,
TOURS & TRAVELS,Default Category/Collections,1,Yes,tours-travels,,,,,,Yes,Products only,,No,,,No layout updates,
Taxi Cab service for Intra-City,Default Category/Collections/TOURS & TRAVELS,1,Yes,taxi-cab-service-for-intra-city,,,,,,Yes,Products only,,No,,,No layout updates,
Inter-City & Inter-State travel,Default Category/Collections/TOURS & TRAVELS,1,Yes,intercity-and-interstate-travel,,,,,,Yes,Products only,,No,,,No layout updates,
HOME DECORATORS & INTERIOR DESIGNER,Default Category/Collections,1,Yes,home-decorators-and-interior-designer,,,,,,Yes,Products only,,No,,,No layout updates,
EVENT ORGANIZERS,Default Category/Collections,1,Yes,event-organizers,,,,,,Yes,Products only,,No,,,No layout updates,
CUSTOM TRAVEL,Default Category/Collections,1,Yes,custom-travel,,,,,,Yes,Products only,,No,,,No layout updates,
PAINTING & WALLPAPERS,Default Category/Collections,1,Yes,painting-and-wallpapers,,,,,,Yes,Products only,,No,,,No layout updates,
HOME THEATRE CUSTOMISES,Default Category/Collections,1,Yes,home-theatre-customises,,,,,,Yes,Products only,,No,,,No layout updates,
APPAREL PRINTING,Default Category/Describe,1,Yes,apparel-printing,,,,,,Yes,Products only,,No,,,No layout updates,
T-Shirts,Default Category/Describe/APPAREL PRINTING,1,Yes,t-shirt,,,,,,Yes,Products only,,No,,,No layout updates,
Caps and Hoodies,Default Category/Describe/APPAREL PRINTING,1,Yes,caps-and-hoodies,,,,,,Yes,Products only,,No,,,No layout updates,
FlipFlops,Default Category/Describe/APPAREL PRINTING,1,Yes,flipflops,,,,,,Yes,Products only,,No,,,No layout updates,
Mobile Case,Default Category/Describe/APPAREL PRINTING,1,Yes,mobile-case,,,,,,Yes,Products only,,No,,,No layout updates,
CUSTOM MUGS PRINTING,Default Category/Describe,1,Yes,custom-mugs-printing,,,,,,Yes,Products only,,No,,,No layout updates,
FLEX PRINTING,Default Category/Describe,1,Yes,flex-printing,,,,,,Yes,Products only,,No,,,No layout updates,
STATIONERY,Default Category/Describe,1,Yes,stationery,,,,,,Yes,Products only,,No,,,No layout updates,
Cards,Default Category/Describe/STATIONERY,1,Yes,cards,,,,,,Yes,Products only,,No,,,No layout updates,
Office Supplies,Default Category/Describe/STATIONERY,1,Yes,office-supplies,,,,,,Yes,Products only,,No,,,No layout updates,
WEDDING CARDS,Default Category/Describe,1,Yes,wedding-cards,,,,,,Yes,Products only,,No,,,No layout updates,
WOMENS CLOTHING & ACCESSORIES,Default Category/Describe,1,Yes,womens-clothing-accessories,,,,,,Yes,Products only,,No,,,No layout updates,
CUSTOM CAKES,Default Category/Describe,1,Yes,custom-cakes,,,,,,Yes,Products only,,No,,,No layout updates,
MENS CLOTHING & ACCESSORIES,Default Category/Describe,1,Yes,mens-clothing-accessories,,,,,,Yes,Products only,,No,,,No layout updates,
FOOTWEAR,Default Category/Describe,1,Yes,footwear,,,,,,Yes,Products only,,No,,,No layout updates,
FURNITURE DECOR,Default Category/Describe,1,Yes,furniture-d_cor,,,,,,Yes,Products only,,No,,,No layout updates,
JEWELLERY,Default Category/Describe,1,Yes,jewellery,,,,,,Yes,Products only,,No,,,No layout updates,
FABRICATION,Default Category/Describe,1,Yes,fabrication,,,,,,Yes,Products only,,No,,,No layout updates,
MOBILE ACCESSORIES,Default Category/Describe,1,Yes,mobile-accessories,,,,,,Yes,Products only,,No,,,No layout updates,
TOYS,Default Category/Describe,1,Yes,toys,,,,,,Yes,Products only,,No,,,No layout updates,
TOURS & TRAVELS,Default Category/Describe,1,Yes,tours-travels,,,,,,Yes,Products only,,No,,,No layout updates,
Taxi Cab service for Intra-City,Default Category/Describe/TOURS & TRAVELS,1,Yes,taxi-cab-service-for-intra-city,,,,,,Yes,Products only,,No,,,No layout updates,
Inter-City & Inter-State travel,Default Category/Describe/TOURS & TRAVELS,1,Yes,intercity-and-interstate-travel,,,,,,Yes,Products only,,No,,,No layout updates,
HOME DECORATORS & INTERIOR DESIGNER,Default Category/Describe,1,Yes,home-decorators-and-interior-designer,,,,,,Yes,Products only,,No,,,No layout updates,
EVENT ORGANIZERS,Default Category/Describe,1,Yes,event-organizers,,,,,,Yes,Products only,,No,,,No layout updates,
CUSTOM TRAVEL,Default Category/Describe,1,Yes,custom-travel,,,,,,Yes,Products only,,No,,,No layout updates,
PAINTING & WALLPAPERS,Default Category/Describe,1,Yes,painting-and-wallpapers,,,,,,Yes,Products only,,No,,,No layout updates,
HOME THEATRE CUSTOMISES,Default Category/Describe,1,Yes,home-theatre-customises,,,,,,Yes,Products only,,No,,,No layout updates,
