store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,price,special_price,cost,weight,msrp,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,website,_media_image,_media_lable,_media_position,_media_is_disabled
admin,base,Describe,simple,"10,61,27,156",describe-iphone4-cover,0,Iphone 4 Cover,,,/a/p/apple_iphone_4_img.png,/a/p/apple_iphone_4_img.png,/a/p/apple_iphone_4_img.png,iphone4-cover,iphone4-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,.,.,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,20/11/16 15:47,,1,0,0,1,1,0,1,0,0,1,1,Iphone 4 Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-iphone5-cover,0,Iphone 5 Cover,,,/a/p/apple_iphone_5_img.png,/a/p/apple_iphone_5_img.png,/a/p/apple_iphone_5_img.png,iphone5-cover,iphone5-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,.,.,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,20/11/16 15:48,,1,0,0,1,1,0,1,0,0,1,1,Iphone 5 Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-iphone5c-cover,0,Iphone 5C Cover,,,/a/p/apple_iphone_5c_img.png,/a/p/apple_iphone_5c_img.png,/a/p/apple_iphone_5c_img.png,iphone5c-cover,iphone5c-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,.,.,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,20/11/16 15:49,,1,0,0,1,1,0,1,0,0,1,1,Iphone 5C Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-appleiphone6-cover,0,Apple iPhone 6 Cover,,,/a/p/apple_iphone_6_img.png,/a/p/apple_iphone_6_img.png,/a/p/apple_iphone_6_img.png,iphone6-cover,iphone6-cover-103.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,.,.,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,22/11/16 4:02,,1,0,0,1,1,0,1,0,0,1,1,Apple iPhone 6 Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-asuszenfone2-cover,0,Asus Zenfone 2 Cover,,,/a/s/asus_zenfone_2_img.png,/a/s/asus_zenfone_2_img.png,/a/s/asus_zenfone_2_img.png,asuszenfone2-cover,asuszenfone2-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,.,.,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,22/11/16 4:01,,1,0,0,1,1,0,1,0,0,1,1,Asus Zenfone 2 Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-asuszenphone5-cover,0,Asus Zenfone 5 Cover,,,/a/s/asus_zenfone_5_img.png,/a/s/asus_zenfone_5_img.png,/a/s/asus_zenfone_5_img.png,asuszenphone5-cover,asuszenphone5-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,.,.,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,22/11/16 4:01,,1,0,0,1,1,0,1,0,0,1,1,Asus Zenfone 5 Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-googlenexus5-cover,0,Google Nexus 5 Cover,,,/g/o/google_nexus_5_img.png,/g/o/google_nexus_5_img.png,/g/o/google_nexus_5_img.png,googlenexus5-cover,googlenexus5-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,.,.,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,22/11/16 4:01,,1,0,0,1,1,0,1,0,0,1,1,Google Nexus 5 Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-googlenexus5x-cover,0,Google Nexus 5X Cover,,,/g/o/google_nexus_5x_img.png,/g/o/google_nexus_5x_img.png,/g/o/google_nexus_5x_img.png,googlenexus5x-cover,googlenexus5x-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,.,.,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,22/11/16 4:00,,1,0,0,1,1,0,1,0,0,1,1,Google Nexus 5X Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-googlenexus6-cover,0,Google Nexus 6 Cover,,,/g/o/google_nexus_6_img.png,/g/o/google_nexus_6_img.png,/g/o/google_nexus_6_img.png,googlenexus6-cover,googlenexus6-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,.,.,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,22/11/16 4:00,,1,0,0,1,1,0,1,0,0,1,1,Google Nexus 6 Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-htc816-cover,0,HTC 816 Cover,,,/h/t/htc_816_img_1.png,/h/t/htc_816_img_1.png,/h/t/htc_816_img_1.png,htc816-cover,htc816-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,.,.,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,22/11/16 4:00,,1,0,0,1,1,0,1,0,0,1,1,HTC 816 Cover,0,simple,,,,,,,
