store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,price,special_price,cost,weight,msrp,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,website,_media_image,_media_lable,_media_position,_media_is_disabled
admin,base,Describe,simple,"10,61,27,156",describe-appleiphone7-cover,0,Apple iPhone 7 Cover,,,/iphone_7_phone_1.png,/iphone_7_phone_1.png,/iphone_7_phone_1.png,appleiphone7-cover,appleiphone7-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,Apple iPhone 7 Cover,Apple iPhone 7 Cover,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,20/12/16 4:53,,1,0,0,1,1,0,1,0,0,1,1,Apple iPhone 7 Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-appleiphone7plus-cover,0,Apple iPhone 7plus Cover,,,/iphone7-plus_phone.png,/iphone7-plus_phone.png,/iphone7-plus_phone.png,appleiphone7plus-cover,appleiphone7plus-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,Apple iPhone 7plus Cover,Apple iPhone 7plus Cover,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,20/12/16 4:52,,1,0,0,1,1,0,1,0,0,1,1,Apple iPhone 7plus Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-coolpadnote3-cover,0,Coolpad Note 3 Cover ,,,/coolpad-note3-lite_phone.png,/coolpad-note3-lite_phone.png,/coolpad-note3-lite_phone.png,coolpadnote3-cover,coolpadnote3-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,Coolpad Note 3 Cover,Coolpad Note 3 Cover,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,15/12/16 7:56,,1,0,0,1,1,0,1,0,0,1,1,Coolpad Note 3 Cover ,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-googlepixel-cover,0,Google Pixel,,,/google_pixel.png,/google_pixel.png,/google_pixel.png,googlepixel-cover,googlepixel-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,Google Pixel,Google Pixel,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,15/12/16 7:57,,1,0,0,1,1,0,1,0,0,1,1,Google Pixel,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-LeEcoLe2-cover,0,LeEco Le 2 Cover,,,/leeco-le-2_phone.png,/leeco-le-2_phone.png,/leeco-le-2_phone.png,leecole2-cover,leecole2-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,LeEco Le 2 Cover,LeEco Le 2 Cover,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,15/12/16 8:01,,1,0,0,1,1,0,1,0,0,1,1,LeEco Le 2 Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-LeEcoLeMax2-cover,0,LeEco Le Max 2 Cover,,,/leeco-le-max2_phone.png,/leeco-le-max2_phone.png,/leeco-le-max2_phone.png,leecolemax2-cover,leecolemax2-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,LeEco Le Max 2 Cover,LeEco Le Max 2 Cover,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,15/12/16 8:03,,1,0,0,1,1,0,1,0,0,1,1,LeEco Le Max 2 Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-MotoG4Plus-cover,0,Moto G4 Plus Cover,,,/moto-g4-plus_phone.png,/moto-g4-plus_phone.png,/moto-g4-plus_phone.png,motog4plus-cover,motog4plus-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,Moto G4 Plus Cover,Moto G4 Plus Cover,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,15/12/16 8:05,,1,0,0,1,1,0,1,0,0,1,1,Moto G4 Plus Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-OppoA37-cover,0,Oppo A37 Cover,,,/oppo-a37_phone.png,/oppo-a37_phone.png,/oppo-a37_phone.png,oppoa37-cover,oppoa37-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,Oppo A37 Cover,Oppo A37 Cover,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,15/12/16 8:10,,1,0,0,1,1,0,1,0,0,1,1,Oppo A37 Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-OppoF1-cover,0,Oppo F1 Cover,,,/oppo-f1_phone.png,/oppo-f1_phone.png,/oppo-f1_phone.png,oppof1-cover,oppof1-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,Oppo F1 Cover,Oppo F1 Cover,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,15/12/16 8:10,,1,0,0,1,1,0,1,0,0,1,1,Oppo F1 Cover,0,simple,,,,,,,
admin,base,Describe,simple,"10,61,27,156",describe-OppoF1plus-cover,0,Oppo F1 plus Cover,,,/oppo-f1-plus_phone.png,/oppo-f1-plus_phone.png,/oppo-f1-plus_phone.png,oppof1plus-cover,oppof1plus-cover.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,0,,,0.1,,Enabled,No,Catalog,None,Oppo F1 plus Cover,Oppo F1 plus Cover,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,15/12/16 8:12,,1,0,0,1,1,0,1,0,0,1,1,Oppo F1 plus Cover,0,simple,,,,,,,
