"",""
"Action","Action"
"Add Meta","Add Meta"
"An error occurred while updating the meta.","An error occurred while updating the meta."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find meta to delete.","Could not find meta to delete."
"Created at","Created at"
"DESCRIPTION","DESCRIPTION"
"Delete Meta","Delete Meta"
"Delete","Delete"
"Disabled","Disabled"
"Edit Meta '%s'","Edit Meta '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving meta","Error saving meta"
"Excel","Excel"
"H1 TAG","H1 TAG"
"Home","Home"
"Id","Id"
"KEYWORDS","KEYWORDS"
"Meta was saved","Meta was saved"
"Meta was successfully deleted.","Meta was successfully deleted."
"Meta was successfully saved","Meta was successfully saved"
"Meta","Meta"
"No","No"
"None","None"
"Please select meta to delete.","Please select meta to delete."
"Please select meta.","Please select meta."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Meta","Save Meta"
"Status","Status"
"Store views","Store views"
"TITLE","TITLE"
"The meta has been deleted.","The meta has been deleted."
"There was a problem saving the meta.","There was a problem saving the meta."
"There was an error deleting meta.","There was an error deleting meta."
"There was an error updating meta.","There was an error updating meta."
"This meta no longer exists.","This meta no longer exists."
"Total of %d meta were successfully deleted.","Total of %d meta were successfully deleted."
"Total of %d meta were successfully updated.","Total of %d meta were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"URL","URL"
"Unable to find meta to save.","Unable to find meta to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"